period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
57,216891,90829642,659090,1229064,17,45076,2942723,77554,20529,27244,290216,4092,1.39
58,219987,91769738,678176,1261019,17,45076,2984266,78450,20529,27244,290216,4092,1.72
59,223072,92721147,689745,1284861,17,45076,3019400,79312,20529,27244,290216,4092,1.17
60,226182,93674898,700006,1307070,17,45076,3054249,80279,20529,27244,290216,4092,1.12
61,228743,94637391,710077,1324196,17,45076,3081961,81365,20529,27244,290216,4092,0.92
62,231374,95585722,725699,1350643,17,45076,3119480,82234,20529,27244,290216,4092,1.44
63,234892,96525292,745405,1382902,17,45076,3161094,83000,20529,27244,290216,4092,1.69
64,237636,97488690,753674,1399733,17,45076,3189197,84112,20529,27244,290216,4092,0.82
65,240902,98440123,762810,1423455,17,45076,3227400,85004,20529,27244,290216,4092,1.15
66,244158,99382447,781123,1454243,17,45076,3266664,85740,20529,27244,290216,4092,1.65
67,247218,100342939,789316,1470508,17,45076,3297261,87196,20529,27244,290216,4092,0.85
68,250462,101315520,790327,1480740,17,45076,3321462,88390,20529,27244,290216,4092,0.44
69,253608,102277465,797850,1495128,17,45076,3349387,89421,20529,27244,290216,4092,0.62
70,256880,103252803,802250,1504171,17,45076,3367570,90172,20529,27244,290216,4092,0.46
71,260205,104217987,808397,1519100,17,45076,3394532,91299,20529,27244,290216,4092,0.70
72,263192,105170128,823096,1542277,17,45076,3428086,92049,20529,27244,290216,4092,1.17
73,266446,106133691,832322,1559321,17,45076,3453571,92842,20529,27244,290216,4092,0.88
74,269708,107088526,845334,1581317,17,45076,3484061,93707,20529,27244,290216,4092,1.16
75,272969,108045894,855349,1599882,17,45076,3514801,94761,20529,27244,290216,4092,0.97
76,276237,108990938,870448,1626171,17,45076,3551764,95662,20529,27244,290216,4092,1.40
77,279482,109933846,885277,1653662,17,45076,3591090,96617,20529,27244,290216,4092,1.52
78,282560,110891221,898291,1674667,17,45076,3621688,97495,20529,27244,290216,4092,1.07
79,285803,111839374,909519,1698128,17,45076,3659130,98437,20529,27244,290216,4092,1.21
80,288970,112797712,916717,1716942,17,45076,3692132,99367,20529,27244,290216,4092,0.82
81,292015,113756107,927799,1734877,17,45076,3721077,100127,20529,27244,290216,4092,0.81
82,295264,114718302,935565,1747847,17,45076,3748645,101201,20529,27244,290216,4092,0.57
83,298514,115684218,942376,1759457,17,45076,3773770,102111,20529,27244,290216,4092,0.53
84,301767,116645639,953213,1775781,17,45076,3800277,102826,20529,27244,290216,4092,0.78
85,304373,117594402,970631,1802679,17,45076,3835189,103621,20529,27244,290216,4092,1.35
86,307169,118548315,983866,1825209,17,45076,3866952,104457,20529,27244,290216,4092,1.17
87,310371,119495072,999632,1849768,17,45076,3902773,105545,20529,27244,290216,4092,1.24
88,313449,120447794,1014513,1872905,17,45076,3937526,106172,20529,27244,290216,4092,1.21
89,316679,121413564,1021634,1886549,17,45076,3962731,107107,20529,27244,290216,4092,0.69
90,319927,122362181,1037139,1910167,17,45076,3997231,107844,20529,27244,290216,4092,1.22
91,322678,123280112,1068211,1956963,17,45076,4049868,108469,20529,27244,290216,4092,2.46
92,326156,124221840,1088356,1987984,17,45076,4090223,109242,20529,27244,290216,4092,1.68
93,328944,125190794,1096555,1999512,17,45076,4112038,110123,20529,27244,290216,4092,0.50
94,332163,126155547,1104315,2012457,17,45076,4137394,111314,20529,27244,290216,4092,0.64
95,335066,127099790,1120515,2039088,17,45076,4176729,112501,20529,27244,290216,4092,1.36
96,338324,128036663,1139914,2070652,17,45076,4217932,113176,20529,27244,290216,4092,1.66
97,341573,128991597,1146127,2087406,17,45076,4253100,114519,20529,27244,290216,4092,0.79
98,344843,129972237,1146348,2094775,17,45076,4269861,115454,20529,27244,290216,4092,0.29
99,348092,130914305,1165258,2123366,17,45076,4307266,116271,20529,27244,290216,4092,1.39
100,351279,135888058,1177542,2146824,17,45076,4343246,117184,20529,27244,290216,4092,1.24
101,354398,132821260,1189308,2168780,17,45076,4372353,118038,20529,27244,290216,4092,1.07
102,357657,133766730,1205114,2194539,17,45076,4410656,119175,20529,27244,290216,4092,1.31
103,360898,138828633,1216962,2214848,17,45076,4444068,120041,20529,27244,290216,4092,1.05
104,363950,135687851,1223345,2228172,17,45076,4470361,120974,20529,27244,290216,4092,0.68
105,367098,136641735,1235128,2249481,17,45076,4502048,122083,20529,27244,290216,4092,1.11
106,369590,137587403,1251308,2275653,17,45076,4541621,122928,20529,27244,290216,4092,1.33
107,372883,138546609,1261412,2295753,17,45076,4571066,123825,20529,27244,290216,4092,1.15
108,375556,139506847,1272748,2314233,17,45076,4600156,124806,20529,27244,290216,4092,0.88
109,379112,140451115,1288113,2341663,17,45076,4640982,125824,20529,27244,290216,4092,1.39
110,382198,141405007,1300243,2362089,17,45076,4673814,126700,20529,27244,290216,4092,1.01
111,385275,142360044,1311984,2381747,17,45076,4705933,127454,20529,27244,290216,4092,1.02
112,388162,143330996,1317132,2392737,17,45076,4729365,128578,20529,27244,290216,4092,0.56
113,391485,144300907,1318604,2405554,17,45076,4755170,129713,20529,27244,290216,4092,0.65
114,394669,149653163,1329849,2426013,17,45076,4790036,130582,20529,27244,290216,4092,0.95
115,397812,146212674,1341010,2444229,17,45076,4820389,131657,20529,27244,290216,4092,0.93
116,401466,147153720,1360461,2475392,17,45076,4861007,132381,20529,27244,290216,4092,1.68
117,404325,148102286,1376029,2501586,17,45076,4897839,133372,20529,27244,290216,4092,1.46
118,407211,149044908,1391829,2530107,17,45076,4939402,134360,20529,27244,290216,4092,1.42
119,409900,149996057,1404637,2552657,17,45076,4974600,135387,20529,27244,290216,4092,1.17
120,413252,150950592,1411821,2573517,17,45076,5009561,136404,20529,27244,290216,4092,0.93
121,416051,151918237,1418505,2586173,17,45076,5034435,137352,20529,27244,290216,4092,0.69
122,419383,152876153,1425217,2604665,17,45076,5068328,138355,20529,27244,290216,4092,0.85
