period,experiment_runn,measurer,IDLE,tiT,sys_evt,ipc0,wifi,esp_timer,Tmr Svc,ipc1,Heap,Stack,Mbps
13,602640,61233,7425102,8990184,24568,1856,2688225,17504,18,19517,290608,4152,12.66,100238
14,660423,72817,7533666,9914175,24568,1856,2877105,18632,18,19517,290608,4152,12.41,100238
15,715574,75966,7635578,10817467,24568,1856,3068800,19788,18,19517,290608,4152,12.60,100238
16,773143,79599,7740018,11708026,24568,1856,3257247,20829,18,19517,290608,4152,12.34,100238
17,825232,82663,16367803,12576470,24568,1856,3437634,21805,18,19517,290608,4152,11.76,100238
18,881366,99059,7974147,13485144,24568,1856,3625230,23026,18,19517,290608,4152,12.43,100238
19,937558,102350,8066849,14387468,24568,1856,3815686,24055,18,19517,290608,4152,12.59,100238
20,994974,105836,8189759,15261936,24568,1856,3997147,25109,18,19517,290608,4152,12.04,100238
21,1052814,109241,8307326,16147415,24568,1856,4181251,26203,18,19517,290608,4152,12.16,100238
22,1108018,112888,8440917,17048641,24568,1856,4362092,27233,18,19517,290608,4152,11.83,100238
23,1163857,116063,8550326,17931993,24568,1856,4548046,28337,18,19517,290608,4152,12.18,100238
24,1219818,119575,8683833,18794061,24568,1856,4722504,29416,18,19517,290608,4152,11.83,100238
25,1276624,128077,8790983,19680612,24568,1856,4910040,30463,18,19517,290608,4152,12.14,100238
26,1332913,139551,8941782,20555042,24568,1856,5086189,31519,18,19517,290608,4152,11.67,100238
27,1388854,142814,9061297,21443121,24568,1856,5272085,32594,18,19517,290608,4152,12.22,100238
28,1445638,146233,9176775,22327027,24568,1856,5459487,33722,18,19517,290608,4152,12.16,100238
29,1500377,149634,25823572,23194855,24568,1856,5641491,34796,18,19517,290608,4152,11.76,100238
30,1558188,165801,9418756,24110163,24568,1856,5830160,35882,18,19517,290608,4152,12.47,100238
31,1615181,169570,9509335,25010126,24568,1856,6015184,36967,18,19517,290608,4152,12.49,100238
32,1669690,172998,9637927,25877814,24568,1856,6193515,38034,18,19517,290608,4152,11.92,100238
33,1727255,176258,9746868,26771547,24568,1856,6378507,39102,18,19517,290608,4152,12.31,100238
34,1786148,180118,9823250,27721789,24568,1856,6568707,40203,18,19517,290608,4152,12.84,100238
35,1841954,183434,9945042,28602639,24568,1856,6752316,41307,18,19517,290608,4152,12.11,100238
36,1900298,186854,31327055,29493976,24568,1856,6937944,42374,18,19517,290608,4152,12.31,100238
37,1957250,189840,10164107,30375361,24568,1856,7118635,43458,18,19517,290608,4152,12.20,100238
38,2012707,195276,32925470,31267171,24568,1856,7295833,44542,18,19517,290608,4152,11.67,100238
39,2068136,198419,10413969,32144779,24568,1856,7476287,45629,18,19517,290608,4152,12.16,100238
40,2125008,201946,10505604,33054363,24568,1856,7667294,46670,18,19517,290608,4152,12.60,100238
41,2181931,205716,35256765,33943032,24568,1856,7852706,47832,18,19517,290608,4152,12.22,100238
42,2240105,209053,36025809,34869872,24568,1856,8052314,48957,18,19517,290608,4152,12.78,100238
43,2299336,223617,10777420,35817748,24568,1856,8250202,50101,18,19517,290608,4152,13.16,100238
44,2356470,227095,10877819,36717166,24568,1856,8439547,51223,18,19517,290608,4152,12.45,100238
45,2414134,230595,10959608,37629670,24568,1856,8632328,52352,18,19517,290608,4152,12.76,100238
