period,wifi,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
113,27245223,34495344,13125077,551273,113864,80822253,19,36496,24540,149049,1881,206992,4152,16.75
114,27478595,34764546,13239387,555336,113864,81520414,19,36496,24540,150357,1881,206992,4152,15.95
115,27723278,35052613,13359311,565302,113864,79218265,19,36496,24540,151570,1881,206992,4152,17.24
116,27968961,35335720,13481169,573468,113864,82889045,19,36496,24540,152938,1881,206992,4152,16.74
117,28206016,35605654,13597426,582207,113864,83579792,19,36496,24540,154268,1881,206992,4152,16.25
118,28453103,35886872,13719447,585204,113864,81278196,19,36496,24540,155593,1881,206992,4152,16.76
119,28689190,36165256,13835966,588352,113864,84952075,19,36496,24540,156781,1881,206992,4152,16.38
120,28902920,36407433,13941015,591623,113864,85673793,19,36496,24540,158034,1881,206992,4152,14.76
121,29169092,36727217,14072927,595083,113864,86317720,19,36496,24540,159421,1881,206992,4152,18.60
122,29403529,36995247,14189175,597898,113864,87011796,19,36496,24540,160705,1881,206992,4152,16.27
123,29637046,37248959,14308734,602563,113864,87709353,19,36496,24540,161848,1881,206992,4152,16.73
124,29878629,37524864,14427828,606842,113864,85416390,19,36496,24540,163180,1881,206992,4152,16.60
125,30118381,37787830,14546429,609505,113864,89078767,19,36496,24540,164372,1881,206992,4152,16.37
126,30355168,38046826,14664024,613086,113864,89769101,19,36496,24540,165685,1881,206992,4152,16.74
127,30590291,38312685,14781740,616159,113864,90463755,19,36496,24540,166937,1881,206992,4152,16.03
128,30835250,38628766,14908512,619616,113864,91135368,19,36496,24540,168412,1881,206992,4152,16.93
129,31071834,38942984,15027323,623080,113864,91821303,19,36496,24540,169693,1881,206992,4152,16.40
130,31310106,39209177,15146368,626413,113864,92507092,19,36496,24540,170951,1881,206992,4152,16.56
131,31552919,39507110,15266356,632133,113864,93190603,19,36496,24540,172108,1881,206992,4152,16.75
132,31791214,39810925,15382935,636035,113864,93879885,19,36496,24540,173427,1881,206992,4152,16.70
133,32032111,40126582,15501415,640778,113864,91451605,19,36496,24540,174643,1881,206992,4152,16.77
134,32263523,40415115,15613844,646949,113864,95267144,19,36496,24540,175977,1881,206992,4152,16.23
135,32502871,40757748,15731074,650477,113864,92754971,19,36496,24540,177241,1881,206992,4152,16.74
136,32739906,41084285,15846545,656935,113864,93390244,19,36496,24540,178472,1881,206992,4152,16.53
137,32977625,41409895,15961684,659445,113864,97324407,19,36496,24540,179723,1881,206992,4152,16.42
138,33215663,41763843,16080900,662898,113864,98009005,19,36496,24540,181052,1881,206992,4152,16.73
139,33452434,42101260,16196269,666470,113864,98687423,19,36496,24540,182392,1881,206992,4152,16.36
140,33689338,42469129,16314805,668863,113864,99368715,19,36496,24540,183637,1881,206992,4152,16.62
141,33926499,42846685,16432043,672513,113864,100064243,19,36496,24540,184694,1881,206992,4152,16.52
142,34171280,43226211,16555574,675797,113864,100735846,19,36496,24540,186100,1881,206992,4152,16.77
143,34408292,43552084,16678916,679141,113864,101422358,19,36496,24540,187502,1881,206992,4152,16.21
144,34648634,43916961,16802837,682703,113864,98260759,19,36496,24540,188770,1881,206992,4152,16.61
145,34888168,44259383,16923683,686076,113864,102792015,19,36496,24540,190125,1881,206992,4152,16.60
146,35123795,44593346,17038818,689437,113864,103479262,19,36496,24540,191365,1881,206992,4152,16.48
147,35359289,44929902,17157388,692903,113864,100128140,19,36496,24540,192723,1881,206992,4152,16.68
148,35602804,45263099,17277194,696210,113864,104856030,19,36496,24540,194078,1881,206992,4152,16.79
149,35831624,45640592,17387790,699542,113864,105554351,19,36496,24540,195405,1881,206992,4152,15.91
150,36058252,45996471,17501142,704519,113864,101950311,19,36496,24540,196764,1881,206992,4152,15.82
151,36287025,46325497,17631668,710139,113864,106941047,19,36496,24540,198126,1881,206992,4152,15.76
152,36542267,46703362,17770914,713804,113864,103156054,19,36496,24540,199611,1881,206992,4152,18.20
153,36785256,47044833,17902980,716633,113864,108267811,19,36496,24540,201103,1881,206992,4152,16.98
154,37018386,47370758,18025443,722738,113864,104435923,19,36496,24540,202598,1881,206992,4152,15.79
155,37267354,47705126,18165073,729648,113864,109611558,19,36496,24540,204109,1881,206992,4152,17.55
156,37514733,48044681,18302737,738684,113864,110292749,19,36496,24540,205530,1881,206992,4152,16.87
157,37739396,48368125,18422340,745025,113864,111004191,19,36496,24540,206897,1881,206992,4152,15.09
158,38006411,48701801,18577948,754050,113864,111665161,19,36496,24540,208463,1881,206992,4152,18.20
159,38247028,49002055,18713104,763135,113864,107589060,19,36496,24540,209775,1881,206992,4152,16.55
160,38479846,49276048,18833496,766099,113864,108278618,19,36496,24540,210942,1881,206992,4152,15.81
161,38731437,49594260,18977646,769106,113864,113696225,19,36496,24540,212601,1881,206992,4152,17.28
162,38972692,49884531,19118900,774109,113864,109562011,19,36496,24540,213841,1881,206992,4152,16.75
163,39211863,50153883,19248538,778578,113864,115067490,19,36496,24540,215168,1881,206992,4152,16.42
164,39452707,50419189,19371636,782428,113864,115752868,19,36496,24540,216400,1881,206992,4152,16.53
165,39691823,50698197,19491838,786653,113864,116434150,19,36496,24540,217726,1881,206992,4152,16.65
166,39934976,50954987,19612503,789235,113864,117114858,19,36496,24540,219037,1881,206992,4152,16.85
